index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
3839,0,the princess weiyoung,nan,"tiffany tang, luo jin, vanness wu, rachel momo, hsin ai lee",china,2016,tv 14,1,"international tv shows, romantic tv shows, tv dramas",a princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.,1
3840,0,the society,nan,"kathryn newton, gideon adlon, sean berdy, natasha liu bordizzo, jacques colimon, olivia dejonge, alex fitzalan, kristine froseth, jose julian, alex macnicoll, toby wallace, rachel keller",united states,2019,tv ma,1,"tv dramas, teen tv shows","when everyone else mysteriously vanishes from their wealthy town, the teen residents of west ham must forge their own society to survive.",2
3841,1,wine country,amy poehler,"amy poehler, maya rudolph, ana gasteyer, rachel dratch, paula pell, emily spivey, tina fey, jason schwartzman",united states,2019,r,104,comedies,"when longtime friends meet up for a wine soaked birthday getaway in napa valley, their perfectly planned weekend turns messier by the minute.",2
3842,1,gatao 2 rise of the king,yen cheng kuo,"collin chou, jason wang, jack kao, tsai chen nan, lu hsueh feng, peng sun",taiwan,2018,tv ma,126,"action adventure, dramas, international movies","when a zealous gang leader plans to take out a friend turned rival for control of his turf, internal tensions complicate the battle to be the boss.",1
3843,0,away from home,nan,"li yongzhen, zhuang kebi, zhang shunyuan, wang wei, wen shaoping, liu shumin, lu huiting, ye chengcheng, chen yuqi",nan,2015,tv pg,1,"international tv shows, tv dramas",a high achieving 11 year old student embarks on a journey of self discovery at a school on a nearby island as he grapples with tensions at home.,1
3844,0,bibik bibikku,nan,"ungku ismail, fasha sandha, bell ngasri, wan sharmila",nan,2016,tv pg,1,"international tv shows, tv comedies","when a busy mother and father realize they need help with their two young children, they hire a series of maids, often with humorous results.",1
3845,0,cinta 100kg,nan,"sherry alhadad, sharifah amani, fezrul khan, ungku hariz, ruzana ibrahim, zain saidan, cristina suzanne, safia hanifah",nan,2016,tv 14,1,"international tv shows, romantic tv shows, tv dramas","two female friends, each with confidence issues, help each other search for true love and deal with their romantic rivals.",1
3846,0,cinta iris,nan,"raja ilya, nazim othman, zain hamid, ungku ismail, tunku hanis",nan,2015,tv pg,1,"international tv shows, romantic tv shows, tv dramas","dedicated engineering student iris succumbs to love and marries, but fate holds both tragedies and triumphs for her personal and professional life.",1
3847,0,cinta si wedding planner,nan,"mira filzah, ady putra, fadlan hazim, shima anuar, nazeera sardi, dian p. ramlee, wan sharmila, rosnah johari, idris md diah",nan,2015,tv 14,1,"international tv shows, romantic tv shows, tv dramas",a wedding planner and an ex marine both have been unlucky in love. but a chance meeting and a spat over a parking space soon change all that.,1
3848,0,cinta teruna kimchi,nan,"nazim othman, johan as ari, nur risteena, niena baharun",nan,2016,tv pg,1,"international tv shows, tv dramas","when a young man determines to discover his father s true identity, he faces unexpected realizations that shake his sense of self.",1
3849,0,secret of success,nan,"jack tan, rain shuaiyu, rickman chia, orange tan, bernard shen jun, kopi lim guo wei, dennis gan",nan,2015,tv 14,1,"international tv shows, romantic tv shows, tv comedies",an aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in but not without consequences.,1
3850,0,the missing menu,nan,"frederick lee, jojo goh, karena teo, jeffrey cheng, janelle chin",nan,2016,tv pg,1,"international tv shows, tv dramas",a single mom and skilled chef yearns for her children to settle down and offers them life lessons through the special dishes she creates.,1
3851,0,unchained fate,nan,"lenna lim, jack tan, rickman chia, rabbit chen, kopi lim guo wei, agnes wang, allan toh, mandy chen, tan hau yen",nan,2016,tv 14,1,"international tv shows, tv dramas, tv sci fi fantasy","a young trio aims to protect the world from evil, armed with magic crystals that allow them to control time, commune with spirits, and more.",1
3852,0,abyss,nan,"park bo young, ahn hyo seop, lee sung jae, lee si eon, han so hee, kwon soo hyun, kim sa rang, ahn se ha, yun yoo sun",south korea,2019,tv 14,1,"crime tv shows, international tv shows, korean tv shows","after meeting an untimely demise in separate incidents, cha min and go se yeon discover theyve come back to life in new bodies they dont recognize.",2
3853,0,i have a script,nan,"souad abdullah, shujoon, fatima al safi",nan,2019,tv 14,1,"international tv shows, tv comedies, tv dramas","after the death of a loved one, a woman decides to pursue her passion for writing by penning television scripts.",1
3854,0,in the bosom of a thorn,nan,"elham al fadalah, ibrahim al harbi, khaled al buraiki, layla abdullah, noor alghandour, abeer ahmad",kuwait,2019,tv 14,1,"international tv shows, tv dramas","after the invasion of kuwait, a womans infant daughter is taken from her. now, her daughter looks to make her way back home years later.",1
3855,0,the writer,nan,"bassel khayyat, daniella rahme, nada abou farhat, nicolas daniel, gabriel yammine",lebanon,2019,tv 14,1,"crime tv shows, international tv shows, tv dramas","when accused of a murder eerily parallel to a plot in his novel, a best selling crime writer must navigate a web of hidden enemies.",1
3856,0,what if,nan,"monther rayahnah, khaled ameen, aseel omran, rawan mahdi, ali al husseini, abdullah al turkumani",nan,2019,tv 14,1,"international tv shows, tv dramas","four individuals at a crossroads in life are given the chance to take both paths, and decide which road is best for them.",1
3857,1,last breath,"alex parkinson, richard da costa",nan,"united kingdom, belgium, sweden",2019,tv ma,86,"documentaries, international movies","a commercial diver becomes trapped on the ocean floor with dwindling oxygen and little hope of a timely rescue, so he tries to save himself.",3
3858,1,the wandering earth,frant gwo,"jing wu, chuxiao qu, jinmai zhao, li guangjie, ng man tat, mike kai sui, qu jingjing, yichi zhang, yang haoyu, arkady sharogradsky, hongchen li, lei jiayin, yi yang, zhigang jiang, huan zhang",china,2019,tv ma,125,"international movies, sci fi fantasy",a looming collision with jupiter threatens earth as humans search for a new star. the planet s fate now lies in the hands of a few unexpected heroes.,1
3859,1,all in my family,hao wu,nan,united states,2019,tv 14,40,"documentaries, lgbtq movies","after starting a family of his very own in america, a gay filmmaker documents his loving, traditional chinese family s process of acceptance.",2
3860,0,crime diaries night out,felipe cano,"sebastian osorio, fabiana medina, laura osma, enrique carriazo, julian roman, juliana velasquez, juan pablo urrego, carlos vergara, ernesto campos, fabio rubiano, ernesto benjumea, jairo camargo, marcela agudelo",mexico,2019,tv ma,1,"crime tv shows, international tv shows, spanish language tv shows","after going to a halloween party, college student luis andres colmenares is found dead. was it an accident or murder inspired by true events.",1
3862,1,despite everything,gabriela tagliavini,"blanca suarez, macarena garcia, amaia salamanca, belen cuesta, maxi iglesias, juan diego, joaquin climent, carlos bardem, emilio gutierrez caba, tito valverde, teresa rabal, rossy de palma, marisa paredes",spain,2019,tv ma,79,"comedies, international movies, romantic movies","after their mother s death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy.",1
3863,1,"extremely wicked, shockingly evil and vile",joe berlinger,"zac efron, lily collins, kaya scodelario, jeffrey donovan, angela sarafyan, jim parsons, john malkovich, haley joel osment, dylan baker, brian geraghty",united states,2019,r,110,"dramas, independent movies",single mother liz falls for ted bundy and refuses to believe the truth about his crimes for years. a drama based on a true story.,2
3864,0,flinch,nan,"desiree burch, lloyd griffith, seann walsh",united kingdom,2019,tv pg,1,reality tv,"harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. if they flinch, they feel the pain.",2
3865,1,jo pil ho the dawning rage,lee jeong beom,"lee sun kyun, jeon so nee, park hae joon, song young chang, park byung eun, lim hyung kuk, kim min jae, kwon han sol, nam mun cheol, lim cheol su",south korea,2018,tv ma,128,"dramas, international movies, thrillers","on the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy before it s too late.",2
3866,1,the last summer,william bindley,"k.j. apa, maia mitchell, tyler posey, jacob latimore, halston sage, wolfgang novogratz, sosie bacon, jacob mccarthy, mario revolori, gage golightly, audrey grace marshall",united states,2019,tv 14,110,"comedies, romantic movies","teens from a chicago high school grapple with their dreams, relationships and identities in a transformative summer before they leave for college.",2
3867,0,tuca bertie,nan,"tiffany haddish, ali wong, steven yeun, nicole byer, richard e. grant, reggie watts",united states,2019,tv ma,1,tv comedies,free spirited toucan tuca and self doubting song thrush bertie are best friends and birds who guide each other through life s ups and downs.,2
3868,1,laatu,manav shah,"gagan kokri, aditi sharma, karamjit anmol, sardar sohi, anita devgan, ashish duggal, nisha bano, harby sangha, rahul jungral, prakash gadhu",india,2018,tv pg,116,"comedies, dramas, international movies",a man who hopes to bring light to his village must compete with an officer from the electricity department to win over the love of his life.,1
3869,1,olympus has fallen,antoine fuqua,"gerard butler, aaron eckhart, morgan freeman, finley jacobsen, dylan mcdermott, rick yune, angela bassett, melissa leo, radha mitchell, cole hauser, ashley judd, robert forster",united states,2013,r,119,action adventure,a disgraced secret service agent must come to the rescue when korean terrorists descend on the white house and take the president hostage.,2
3870,0,code geass lelouch of the rebellion,nan,"jun fukuyama, takahiro sakurai, yukana, ami koshimizu, kaori nazuka, fumiko orikasa, sayaka ohara, noriaki sugiyama, takahiro mizushima, soichiro hoshi, yuko goto",japan,2008,tv ma,2,"anime series, international tv shows",a high schooler who s granted powers to make anyone instantly obedient dons a mask to lead japan s rebellion against a long invading britannia.,1
3871,1,john yoko above us only sky,michael epstein,"john lennon, yoko ono",united kingdom,2018,tv ma,90,"documentaries, music musicals","featuring interviews and never before seen footage, this film tells the story behind john lennon and yoko onos seminal 1971 album, imagine.",2
3873,1,munafik 2,syamsul yusof,"syamsul yusof, maya karin, nasir bilal khan, rahim razali, fizz fairuz, fauzi nawawi, mawi, ku faridah",malaysia,2018,tv ma,104,"horror movies, international movies","haunted by terrifying visions, a muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader.",1
3874,1,sur sapata,mangesh kanthale,"upendra limaye, govind namdeo, sanjay jadhav, anand ingale, bharat ganeshpure, praveen tarde, chinmay patwardhan, jivan karlakar",india,2019,tv 14,140,"comedies, dramas, international movies",a group of small town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school s championship victory.,1
3875,1,a home with a view,herman yau,"francis chun yu ng, louis koo, anita yuen, tat ming cheung, jocelyn choi, ng siu hin, lam suet, anthony wong chau sang, lo hoi pang",hong kong,2019,tv ma,92,"comedies, international movies","when a neighbor blocks their view of the city with a commercial billboard, a hong kong family resorts to drastic, imaginative measures to take it down.",2
3876,0,angel n devil,nan,"simon lian, teddy chen, sylvia wang, cosmos lin, ting liu, lucia chen, allie ji, sunnee yang, na wei hsun",taiwan,2014,tv 14,1,"international tv shows, tv action adventure, tv comedies","in a world known as the copper dimension, a group of high school girls fights against dark forces and their own inner demons.",1
3877,1,anthony jeselnik fire in the maternity ward,marcus raboy,anthony jeselnik,united states,2019,tv ma,64,stand up comedy,"forging his own comedic boundaries, anthony jeselnik revels in getting away with saying things others can t in this stand up special shot in new york.",2
3878,0,hong kong west side stories,nan,"louis cheung, myolie wu, justin cheung, brian chan, raymond chiu, fish liew, lee sheung ching, kaki sham, gregory wong, thor lok",hong kong,2018,tv ma,1,"international tv shows, tv comedies, tv dramas","the intimate lives of young men and women from hong kong are linked by loosely connected stories about love, lust, separation and deceit.",2
3879,0,ingress the animation,nan,"yoshiki nakajima, reina ueda, shigeo kiyama, tarusuke shingaki, kohsuke toriumi, kentaro tone, hiroo sasaki, megumi ogata",japan,2018,tv ma,1,"anime series, crime tv shows, international tv shows","after scientists discover a mysterious substance that can influence human minds, two factions wage an all out battle to control its awesome power.",1
3880,0,k.o. one re act,nan,"jiro wang, pets tseng, sam lin, sylvia wang, wes lo, wayne huang, xu ming jie, ba yu, emily tsai, chen bo zheng, nylon chen, na wei hsun",nan,2013,tv 14,1,"international tv shows, tv comedies, tv dramas","as a guardian of space time order, 28 year old wang dadong returns to bale high school to investigate an anomaly and clashes with king.",1
3881,0,k.o.3an guo,nan,"george hu, chen de xiu, bo yan, lorene ren, tsai yi chen, benjamin h. wang, wes lo, shao xiang, pets tseng, nylon chen, wu xiong",taiwan,2009,tv 14,1,"international tv shows, tv comedies, tv sci fi fantasy","in the silver dimension, liu bei, guan yu and zhang fei plan to enroll in an elite academy as sworn brothers, but ko one visitors derail the plan.",1
3882,0,ko one return,nan,"jiro wang, pets tseng, sam lin, xu ming jie, sylvia wang, monkey shao, zhang hao ming, na wei hsun",nan,2012,tv ma,1,"international tv shows, tv comedies, tv dramas","a time quake propels wang dadong into the future, where he encounters a classmate named king who presides over the ko one.",1
3883,0,the outsiders,nan,"dylan kuo, ady an, lan cheng lung, michael chang, joelle lu",taiwan,2004,tv ma,1,"crime tv shows, international tv shows, romantic tv shows",a trio of delinquent brothers fends off neighborhood rivals until one joins a gang to gain protection for the upper class girl he loves.,1
3884,0,ash vs. evil dead,nan,"bruce campbell, lucy lawless, ray santiago, dana delorenzo, jill marie jones",united states,2018,tv ma,3,"tv action adventure, tv comedies, tv horror","thirty years later, ash williams demon hunter par excellence is back to battle a new deadite plague. he may have lost a hand, but not his touch.",2
3885,1,teen aur aadha,dar gai,"zoya hussain, suhasini mulay, jim sarbh, aarya dave, anjum rajabali, m.k. raina",india,2018,tv ma,119,"dramas, independent movies, international movies","at a 50 year old house that served as a school, a brothel, and now a home, tales unfold of the residents who have lived there, longing for an escape.",1
3886,0,senora acero,nan,"blanca soto, litzy, damian alcazar, marco perez, jorge zarate, rossana san juan, andres palacios, rebecca jones, lincoln palomeque","mexico, united states",2018,tv ma,5,"crime tv shows, international tv shows, spanish language tv shows","when her drug trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.",3
3887,0,chambers,nan,"sivan alyra rose, uma thurman, tony goldwyn, marcus lavoi, nicholas galitzine, kyanna simone simpson, griffin powell arcand, lilli kay, sarah mezzanotte, lilliya scarlett reid",united states,2019,tv ma,1,"tv horror, tv mysteries, teen tv shows","haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor s mysterious death.",2
3888,1,loving is losing,fernando ayllon,"ricardo quevedo, liss pereira, ivan marin, lorna cepeda, carolina sarmiento, linda baldrich, joavany alvarez, maria cecilia botero, rocio tavera, bruno diaz",colombia,2019,tv ma,91,"comedies, international movies, romantic movies","when a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",1
3889,1,money trap,ylmaz erdogan,"ylmaz erdogan, kvanc tatltug, ezgi mola, bensu soral, rza kocaoglu, okan cabalar, guven krac, ahmet mumtaz taylan",turkey,2019,tv ma,122,"comedies, dramas, international movies","when his daughter and son in law fall prey to a scam, istanbul con man asm noyan meets his match in a madcap kingpin of an underground gambling world.",1
3890,1,njan prakashan,sathyan anthikad,"fahadh faasil, sreenivasan, nikhila vimal, devika sanjay, anju kurian, k.p.a.c. lalitha",india,2018,tv pg,125,"comedies, dramas, international movies","yearning for a lavish life abroad, an entitled, lazy sexist crafts a scam to ditch his thankless nursing job and find a wealthy spouse to secure a visa.",1
3891,1,remastered devil at the crossroads,brian oakes,nan,united states,2019,tv 14,49,"documentaries, music musicals","cloaked in mystery, bluesman robert johnson left his mark on american music. now family, critics and famous fans look for the real man behind the music.",2
3892,0,street food,nan,nan,united states,2019,tv pg,1,docuseries,embark on a global cultural journey into street food and discover the stories of the people who create the flavorful dishes.,2
3893,0,the hateful eight extended version,quentin tarantino,"samuel l. jackson, kurt russell, jennifer jason leigh, walton goggins, demian bichir, tim roth, michael madsen, bruce dern, james parks",nan,2015,r,1,tv shows,"trapped at a stagecoach stop as a storm rages outside, two bounty hunters and an outlaw face a gallery of rogues. features never before seen footage.",1
3894,1,a fortunate man,bille august,"esben smed, katrine rosenthal, benjamin kitter, julie christiansen, tommy kenter, tammi st, rasmus bjerg, ole lemmeke, sarah viktoria bjerregaard, anders hove, jens albinus",denmark,2018,tv ma,168,"dramas, international movies","a gifted engineer flees his austere roots to pursue wealth and success among copenhagen s elite, but the pride propelling him threatens to be his ruin.",1
3895,1,grass is greener,fab five freddie,nan,nan,2019,tv ma,98,"documentaries, music musicals",it lit up jazz and hip hop and ignited a war on drugs steeped in racial injustice. experts explore america s complicated relationship with weed.,1
3896,1,brene brown the call to courage,sandra restrepo,brene brown,nan,2019,tv 14,77,documentaries,"with humor and empathy, brene brown discusses what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.",1
3897,0,ko one,nan,"aaron yan, jiro wang, calvin ka sing chen, danson tang, tsai yi chen, alien huang",taiwan,2005,tv ma,1,"international tv shows, tv action adventure, tv comedies","gifted with special powers, fighting skills and slick hair, the rowdy ko one navigates tough friendships and high school romance.",1
3898,0,lunatics,nan,chris lilley,australia,2019,tv ma,1,"international tv shows, tv comedies",this mockumentary series follows the peculiar lives of six eccentric and sometimes obscene misfits who march to their own beat.,1
3899,1,music teacher,sarthak dasgupta,"manav kaul, amrita bagchi, divya dutta, neena gupta, niharika lyra dutt, k.c. shankar",india,2019,tv 14,102,"dramas, independent movies, international movies",a dejected small town music teacher grapples with guilt and regret when his ex pupil who once loved him returns home as the star he always wanted to be.,1
3900,0,my dear boy,nan,"ruby lin, derek chang, lee lee zen, archie kao, yen yi wen, chu chung heng, aaron chen, greg han, wen chen ling, zhang guang chen",taiwan,2017,tv ma,1,"international tv shows, romantic tv shows","heartbroken and romantically pessimistic, a commercial director meets a young artist and teaches him life changing lessons about love.",1
3901,0,rilakkuma and kaoru,nan,"mikako tabe, soki matsumoto, takayuki yamada, mai kanazawa, shigeru sugimoto, issei takubo, kanako nishiyama, yuzuha kobayashi, masako matsuno, kana odaira, hitoshi honma, ayano kinashi","japan, united states",2019,tv pg,1,"anime series, international tv shows","her life might be a little mundane, but kaoru gets to go home to rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.",3
3902,0,samantha,nan,"emmanuelle araujo, douglas silva, sabrina nonata, caua goncalves, daniel furlan, alice braga, alessandra negrini, lorena comparato, rodrigo pandolfo, luciana vendramini, maria eduarda, sidney alexandre, enzo ovideo, mauricio xavier, paulo tiefenthaler, ary franca",brazil,2019,tv ma,2,"international tv shows, tv comedies","a child star in the 80s, samantha clings to the fringes of celebrity with hilarious harebrained schemes to launch herself back into the spotlight.",1
3903,1,someone great,jennifer kaytin robinson,"gina rodriguez, brittany snow, dewanda wise, lakeith stanfield, rupaul charles, peter vack, alex moffat, rosario dawson, rebecca naomi jones, jaboukie young white, michelle buteau, questlove",united states,2019,r,92,"comedies, romantic movies","on the heels of a blindsiding breakup, music journalist jenny braces for a new beginning and one last adventure with her closest friends.",2
3904,1,the ruthless,renato de maria,"riccardo scamarcio, sara serraiocco, alessio pratico, alessandro tedeschi, marie ange casta","italy, france",2019,tv ma,111,"dramas, international movies",a rebellious teen grows up to become one of milan s most ambitious criminals during the golden years of the ndrangheta mafia in the 1980s.,2
3905,1,a little chaos,alan rickman,"kate winslet, matthias schoenaerts, alan rickman, stanley tucci, helen mccrory, steven waddington, jennifer ehle, rupert penry jones, paula paul, danny webb, phyllida law",united kingdom,2014,r,113,"dramas, independent movies, international movies","a willful young woman is hired to design a garden at versailles for louis xiv. soon, she s ensnared in political and romantic complications.",2
3906,1,franco escamilla bienvenido al mundo,ulises valencia,franco escamilla,mexico,2019,tv ma,54,stand up comedy,"comedian franco escamilla shares stories about parenting his children when they get into trouble, with reflections on gender, friendship and romance.",1
3907,1,homecoming a film by beyonce,beyonce knowles carter,beyonce knowles carter,nan,2019,tv ma,138,"documentaries, music musicals","this intimate, in depth look at beyonce s celebrated 2018 coachella performance reveals the emotional road from creative concept to cultural movement.",1
3908,1,about time,richard curtis,"domhnall gleeson, rachel mcadams, bill nighy, lydia wilson, lindsay duncan, richard cordery, tom hollander, margot robbie, joshua mcguire, vanessa kirby",united kingdom,2013,r,123,"comedies, dramas, international movies","when tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",2
3910,1,bollywood calling,nagesh kukunoor,"om puri, pat cusick, navin nischol, perizaad zorabian",india,2001,tv ma,102,"comedies, dramas, international movies",a down and out hollywood actor is utterly unprepared for the eccentricities that await when an indian producer offers him a role in a bollywood film.,1
3911,1,ek khiladi ek haseena,suparn verma,"koena mitra, fardeen khan, kay kay menon, mumait khan, rakhi sawant, feroz khan, zabyn khan, rohit roy, gulshan grover, amin hajee",india,2005,tv 14,141,"international movies, music musicals, thrillers","indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it s soon clear that no one can be trusted.",1
3912,1,generation iron 3,vlad yudin,nan,united states,2018,tv ma,95,"documentaries, sports movies",bodybuilders come together from around the world to compete in the mr. olympia competition and try to achieve their goals of physical perfection.,2
3913,1,hazaaron khwaishein aisi,sudhir mishra,"kay kay menon, shiney ahuja, chitrangada singh, ram kapoor, saurabh shukla, yashpal sharma, jasbir malik, sohrab ardeshir, aditya bhattacharya, arif zakaria","india, france",2003,tv ma,111,"dramas, international movies, romantic movies","in a politically charged india of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart.",2
3914,1,jhankaar beats,sujoy ghosh,"rahul bose, sanjay suri, rinke khanna, riya sen, juhi chawla, shayan munshi",india,2003,tv 14,131,"comedies, international movies, music musicals","juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream winning a coveted music competition.",1
3915,1,mumbai matinee,anant balani,"rahul bose, vijay raaz, anusha dhandekar, perizaad zorabian, saurabh shukla, asrani, shehzad khan",india,2003,tv 14,116,"comedies, international movies, romantic movies","still a virgin at 32 years old, a frustrated advertising agent gets the shock of his life when an unlikely chain of events turns him into a porn star.",1
3916,1,rainbow jelly,soukarya ghosal,"mahabrata basu, anumegha banerjee, koushik sen, sreelekha mitra, shantilal mukherjee, iqbal sultan, daminee basu, subhajit das",india,2018,tv 14,119,"dramas, international movies, sci fi fantasy","mistreated by his cruel uncle, an imaginative orphan with autism sees hope when a fairy vows to change his life with a week of enchanted recipes.",1
3917,1,shabd,leena yadav,"sanjay dutt, aishwarya rai bachchan, zayed khan, brijendra kala, sadiya siddiqui, kamini khanna",india,2005,tv 14,146,"dramas, international movies, romantic movies","when a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.",1
3918,1,shortcut safari,amitabha singh,"jimmy shergill, aashi rawal, stuti dwivedi, deah tandon, sharvil patel, hardil kanabar, mann patel, ugam khetani, manmeet singh, nazia davison",india,2016,tv pg,101,"action adventure, comedies, dramas",unexpected wildlife adventures and valuable life lessons await seven city kids when they suddenly become lost in the forest during a school field trip.,1
3919,1,thriller,dallas jackson,"jessica allain, luke tennie, tequan richmond, paige hurd, chelsea rendon, mitchell edwards, pepi sonuga, jason woods, maestro harrell, rza, mykelti williamson",united states,2018,tv ma,87,horror movies,"when a prank goes wrong, a shy kid from compton is sent away for murder. four years later, hes back and out for revenge on homecoming weekend.",2
3920,0,crazy ex girlfriend,nan,"rachel bloom, vincent rodriguez iii, santino fontana, donna lynne champlin, pete gardner, vella lovell, gabrielle ruiz, scott michael foster",united states,2019,tv ma,4,"romantic tv shows, tv comedies","still pining for josh, the boy who dumped her ages ago, whip smart lawyer rebecca jettisons her new york life and moves to california to win him back.",2
3921,1,who would you take to a deserted island,jota linares,"maria pedraza, jaime lorente, pol monen, andrea ros",spain,2019,tv ma,94,"dramas, international movies","on their last night together, four longtime flatmates lives are suddenly upended when a secret is revealed during the course of an evening celebration.",1
3922,1,dabbe 5 zehr i cin,hasan karacadag,"nil gunal, umit bulent dincer, sultan koroglu klc, emir ozbek yldz, pelin acar, murat sevis",turkey,2014,tv ma,133,"horror movies, international movies","when dilek becomes haunted by evil spirits and loses control of her body, she seeks the help of a woman with dark secrets to cure her.",1
3923,1,dabbe the possession,hasan karacadag,"cansu kurgun, irmak ornek, a. murat ozgen, sultan koroglu klc, elcin atamguc, sabriye gunuc, furkan bayraktar, mehmet canbeg, oguzhan kocakli",turkey,2013,tv ma,135,"horror movies, international movies","ahead of her wedding, kubra is possessed by demons. when an examination reveals more horror, her friend, a psychiatrist, tries to perform an exorcism.",1
3924,1,francesco de carlo cose di questo mondo,nan,francesco de carlo,italy,2019,tv ma,61,stand up comedy,"taking the stage in milan, francesco de carlo opens up about his bad habits, religion, politics and what he s learned from traveling the world.",1
3925,0,huge in france,nan,"gad elmaleh, scott keiji takeda, jordan ver hoeve, erinn hayes, matthew del negro",united states,2019,tv ma,1,tv comedies,"eager to reconnect with his son, french comedy star gad elmaleh moves to la, only to discover that he s left all his fame and celebrity perks behind.",2
3926,1,the perfect date,chris nelson,"noah centineo, laura marano, camila mendes, odiseas georgiadis, matt walsh, joe chrest, carrie lazar, alex biglane, blaine kern iii, zak steiner",united states,2019,tv 14,91,"comedies, romantic movies","to earn money for college, a high schooler launches an app offering his services as a fake date. but when real feelings emerge, things get complicated.",2
3927,0,new girl,nan,"zooey deschanel, jake johnson, max greenfield, hannah simone, lamorne morris, damon wayans jr.",united states,2018,tv 14,7,"romantic tv shows, tv comedies","still rebounding from a breakup, jessica day moves in with three single guys, all of whom are ready to help her understand the ways of the world.",2
3928,0,persona,"lee kyoungmi, yim pilsung, jeon go woon, kim jong kwan","lee ji eun iu , bae doona, park hae soo, kim tae hun, shim dal gi, lee sung wook, jung jun won",south korea,2019,tv ma,1,"international tv shows, korean tv shows, tv dramas",an exploration of different personas in an eclectic collection of four works by critically acclaimed korean directors.,2
3929,1,liss pereira reteniendo liquidos,fernando ayllon,liss pereira,brazil,2019,tv 14,59,stand up comedy,"a pregnant liss pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships.",1
3930,1,the silence,john r. leonetti,"stanley tucci, kiernan shipka, miranda otto, kate trotter, john corbett, kyle breitkopf, dempsey bryk, billy maclellan","canada, germany",2019,pg 13,91,"horror movies, thrillers","with the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",2
3931,0,you vs. wild,nan,bear grylls,united states,2019,tv pg,1,"kids tv, reality tv, science nature tv","in this interactive series, you ll make key decisions to help bear grylls survive, thrive and complete missions in the harshest environments on earth.",2
3932,1,sarvam thaala mayam telugu version,rajiv menon,"g.v. prakash kumar, nedumudi venu, aparna balamurali, divyadarshini, vineeth, kumaravel, ravi prakash, sumesh",india,2018,tv 14,131,"dramas, international movies, music musicals","an aspiring musician battles age old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",1
3933,1,petta telugu version,karthik subbaraj,"rajnikanth, vijay sethupathi, m. sasikumar, nawazuddin siddiqui, trisha krishnan, simran",nan,2019,tv 14,170,"action adventure, comedies, dramas","an affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past.",1
3934,0,time the kalief browder story,nan,nan,united states,2017,tv ma,1,docuseries,"this series traces the tragic case of kalief browder, a bronx teen who spent three horrific years in jail, despite never being convicted of a crime.",2
3935,1,alien warfare,jeremiah jones,"clayton snyder, david meadows, daniel washington, scott c. roe, larissa andrade, sal rendino, jose guns alves, scott king",united states,2019,tv ma,88,"action adventure, sci fi fantasy",the u.s. navy seal team tackles a top secret mission at a research center where scientists have mysteriously disappeared and another life form awaits.,2
3936,0,derek,nan,"ricky gervais, kerry godliman, karl pilkington, david earl, kay noone, tim barlow, arthur nightingale, sheila collings, margaret towner, barry martin, prem modgil, blanche williams, ninette finch, brett goldstein, ruth bratt, holli dempsey",united kingdom,2015,tv ma,3,"british tv shows, international tv shows, tv comedies",ricky gervais created and stars in this heartwarming comedy drama series as a loyal english nursing home caretaker who sees only the good in everyone.,2
3937,0,imposters,nan,"inbar lavi, rob heaps, parker young, marianne rendon, stephen bishop, brian benben, katherine la nasa",united states,2017,tv ma,2,"crime tv shows, international tv shows, tv comedies","supported by a team of fellow thieves, a con artist lures her targets into matrimony and then absconds with their fortunes in this darkly comic series.",2
3938,0,our planet,nan,david attenborough,"united states, united kingdom",2019,tv pg,1,"docuseries, science nature tv",experience our planet s natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,3
